Solvent,CAS,dD,dP,dH,NFPA Health,NFPA Flame,GHS Hazards,Glove Type,SDS Link,Lab Scale Cost Est. ($/g),Bulk Cost Est. ($/lb),Melting Point (C),Boiling Point (C),Molecular Weight,Molar Volume,Density (g/L),Viscosity (cP),Refractive Index,Vapor Pressure (mmHg),Flash Point (C),Water Solubility (g/L),RER (HSP),Formula,CHO
Cyclohexyl Ethyl Alcohol,4442-79-9,17.09,4.55,9.89,1,2,"Flammable liquids (Category 4), Acute ...",Nitrile,SDS Source,0.57,145.38,-20,208,128.21,139.51,0.919,-,1.4656,0.2 hPa at 25 C,86,Not Soluble,2.1,C8H16O,True
Cyclohexyl Vinyl Ether,2182-55-0,16.52,3.19,3.53,2,3,"Flammable liquids (Category 3), Skin i...",Unknown,SDS Source,2.02,134.72,-,147,126.2,141.639,0.891,-,1.4547,1.3 mmHg at 25 C,35,-,70.4,C8H14O,True
Cyclohexyldimethoxymethylsilane,17865-32-6,15.1,2.05,1.79,2,2,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,0.43,27.22,-72,196,188.34,200.362,0.94,-,1.4354,16.4 hPa at 20 C,66,0.151,-,C9H20O2Si,False
Cyclooctanol,696-71-9,17.18,4.51,9.76,0,2,Flammable liquids (Category 4),Unknown,SDS Source,1.88,381.02,15,209,128.21,131.632,0.974,136,1.486,-,86,Not Soluble,-,C8H16O,True
Cyclopentanone,120-92-3,17.9,11.9,5.2,0,3,"Flammable liquids (Category 3), Skin i...",Butyl Rubber,SDS Source,0.09,27.86,-51.3,130.5,84.12,88.4543,0.951,1.29,1.4371,11.5 hPa at 20 C,30,9.18,42.379,C5H8O,True
Cydecanol,133-21-1,17.52,4.36,9.14,2,0,"Acute toxicity, Oral (Category 4), Eye...",Unknown,SDS Source,216.5,-,-,245.9,150.22,125.183,1.2,-,1.583,0.00462 mmHg at 25 C,90.2,-,-,C10H14O,True
Cyrene,53716-82-8,18.9,12.4,7.1,2,1,Eye irritation (Category 2A),Unknown,SDS Source,0.12,26.18,-,227,128.13,102.504,1.25,14.5,-,0.28 hPa at 25 C,108,-502,-,C6H8O3,True
d-Acetone Glycerol,14347-78-5,16.8,7.48,10.95,0,2,Flammable liquids (Category 4),Unknown,SDS Source,13.74,643.19,-,188.499,132.16,124.444,1.062,-,1.434,-,79,-,-,C6H12O3,True
Decanenitrile,1975-78-6,16.04,5.92,3.55,2,1,"Acute toxicity, Oral (Category 4), Acu...",Unknown,SDS Source,0.89,113.4,-17.9,241,153.27,189.222,0.81,-,1.428,-,97,-,1,C10H19N,False
Decylcyclohexane,1795-16-0,16.17,0.1,0.1,0,0,None,Unknown,SDS Source,9.48,-,-1.7,299,224.43,274.801,0.8167,-,1.45338,-,127.5,Not Soluble,0.3,C16H32,True
Decyltetradecanol,58670-89-6,16.04,1.86,6.16,0,0,None,Unknown,SDS Source,0.94,338.83,17,-,354.65,421.2,0.842,-,1.457,-,113,-,-,C24H50O,True
Delta-Decalactone,705-86-2,16.37,10.2,4.31,0,0,None,Latex/ Chloroprene/,SDS Source,0.66,52.05,-27,281,170.25,178.459,0.954,-,1.4577,0.00294 mmHg at 20 C,113,4,0.3,C10H18O2,True
Delta-Nonalactone,3301-94-8,16.4,11.26,4.45,0,0,None,Latex/ Chloroprene/,SDS Source,0.81,134.04,-,250,156.22,174.938,0.893,-,1.455,0.86 Pa at 25 C,100,-,0.6,C9H16O2,True
Dexpanthenol,81-13-0,17.59,13.59,17.2,0,0,None,Nitrile,SDS Source,0.33,23.69,-25,235.6,205.25,171.042,1.2,180000,1.497,0 hPa at 25 C,150.5,509,-,C9H19NO4,False
Dextro-Dihydrocarvone,7764-50-3,17.09,5.29,2.8,2,2,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,1.09,113.4,-,222,152.23,163.864,0.929,-,1.472,0.08 hPa at 20 C,81,-,9,C10H16O,True
Di-(2-Ethyl Hexyl) Sebacate,122-62-3,16.2,5,9,0,0,Not a hazardous substance or mixture,Nitrile,SDS Source,0.38,20.64,-48,256,426.67,467.84,0.912,17.21,1.451,0.000024 Pa at 37 C C,210,-,0,C26H50O4,True
Di-n-Pentyl Ether,693-65-2,15.6,3.1,3,0,2,"Flammable liquids (Category 3), Acute ...",Nitrile,SDS Source,1.05,429.1,-69,190,158.28,201.631,0.785,-,1.417,0.7 hPa at 20 C,57,-,6.865,C10H22O,True
Di-sec-Butyl Ether,6863-58-7,15.2,3.5,3.3,0,3,Flammable liquids (Category 3),Unknown,SDS Source,29.8,777.91,-100,121,130.23,171.581,0.759,-,1.394,-,25.6,-,126.433,C8H18O,True
Diallyl Ether,557-40-4,15.3,4.4,5.3,2,3,"Flammable liquids (Category 2), Acute ...",Unknown,SDS Source,3.28,-,-6,94,98.14,122.217,0.803,-,1.416,5.79 kPa at 20 C,-7,-,283.2,C6H10O,True
Diallyl Maleate,999-21-3,16.91,4.5,6.41,2,1,"Acute toxicity, Oral (Category 3), Acu...",Chloroprene/Nitrile,SDS Source,0.68,58.97,-47,108,196.2,182.682,1.074,-,1.469,0.1 mmHg at 20 C,121,-,0.6,C10H12O4,True
Diallyl Sulfide,592-88-1,17.01,3.56,4.56,2,2,Flammable liquids (Category 3),Fluorinated Rubber,SDS Source,0.6,137.21,-85,138.6,114.21,128.76,0.887,-,1.4896,9 hPa at 20 C,46,-,52.9,C6H10S,False
Dibutyl Disulfide,629-45-8,16.42,4.12,2.61,0,2,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,1.17,89.36,-94,229,178.36,190.149,0.938,-,1.49259,52 mmHg at 37.7,93,Not Soluble,1.8,C8H18S2,False
Dibutyl Ether,142-96-1,15.2,3.4,3.2,2,3,"Flammable liquids (Category 3), Skin i...",Nitrile/Fluorinated,SDS Source,0.37,14.69,-95.2,140.2,130.23,170.458,0.764,-,1.399,3.5 mmHg at 20 C,25,0.113,53.62,C8H18O,True
Dibutyl Ketone,502-56-7,16,7.7,4.4,0,2,"Flammable liquids (Category 4), Short-...",Unknown,SDS Source,1.11,71.67,-50,188.4,142.24,172.203,0.826,-,1.4195,0.56 mmHg at 25 C,61,-,39.726,C9H18O,True
Diethyl Butylmalonate,133-08-4,16.14,4.27,5.67,0,1,None,Unknown,SDS Source,0.26,53.52,-54,235,216.27,220.01,0.983,-,1.4222,0.0447mmHg at 25 C,94,-,-,C11H20O4,True
Diethyl Carbonate,105-58-8,15.1,6.3,3.5,1,3,Flammable liquids (Category 3),Butyl Rubber,SDS Source,0.06,15.1,-43,126,118.13,121.159,0.975,0.764,1.3852,10 mmHg at 23.8 C,25,18.2,55.96,C5H10O3,True
Diethyl Fumarate,623-91-6,16.71,5.79,7.39,1,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,0.19,36.29,1,218,172.18,163.669,1.052,-,1.4412,1 mmHg at 53.2 C,92,-,2.1,C8H12O4,True
Diethyl Isopropylmalonate,759-36-4,16.02,4.38,5.38,0,2,Flammable liquids (Category 4),Unknown,SDS Source,1.47,-,-,214,202.25,204.293,0.99,-,1.418,-,92,-,-,C10H18O4,True
Diethyl Malonate,105-53-3,16.1,7.7,8.3,2,2,"Flammable liquids (Category 4), Acute ...",Butyl Rubber/ Latex,SDS Source,0.05,9.19,-50,200,160.17,151.82,1.055,-,1.4156,1 hPa at 40 C,90,Not Soluble,0.853,C7H12O4,True
Diethyl Methoxycarbonylmethanephosphonate,1067-74-9,17,13.36,9.02,2,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,3.18,50.35,-,270.2,210.16,183.546,1.145,-,1.4385,-,110,-,-,C7H15O5P,False
Diethyl Methylmalonate,609-08-5,16.22,5.29,6.84,0,2,Flammable liquids (Category 4),Unknown,SDS Source,0.27,35.83,-,201,174.19,170.44,1.022,-,1.4139,0.26 hPa at 20 C,82,Not Soluble,2.9,C8H14O4,True
Diethyl Sulfite,623-81-4,16.82,7.99,4.27,2,2,Flammable liquids (Category 3),Unknown,SDS Source,1.78,236.78,-,157,138.18,126.771,1.09,-,1.4155,-,49,-,9.6,C4H10O3S,False
Diethyldisulfide,110-81-6,17,6.7,5.7,2,2,"Flammable liquids (Category 3), Skin i...",Butyl Rubber/ Fluor,SDS Source,1.17,136.98,-101.5,154,122.6,123.838,0.99,-,1.50451,4.28 mmHg at 25 C,40,0.3,23.764,C4H10S2,False
Diethylene Glycol Dibutyl Ether,112-73-2,15.8,4.7,4.4,1,1,None,Nitrile,SDS Source,0.25,16.33,-60,256,218.33,246.701,0.885,2.4,1.426,0.01 hPa at 20 C,118,2.8,0.086,C12H26O3,True
Diethylene Glycol Monoethyl Ether Acetate,112-15-2,16.2,5.1,9.2,2,1,Eye irritation (Category 2A),Butyl Rubber,SDS Source,0.1,15.46,-25,218.5,176.21,174.293,1.011,2.17,1.4363,0.09890 mmHg at 20 C,98,1000,0.704,C8H16O4,True
Diethylsilane,542-91-6,14.35,1.73,1.12,0,3,Flammable liquids (Category 3),Unknown,SDS Source,5.34,930.32,-134.3,57,88.22,129.545,0.681,-,1.3916,-,-20,Not Soluble,1137.1,C4H12Si,False
Difurfuryldisulfide,4437-20-1,18.6,7.56,6.24,0,0,None,Unknown,SDS Source,1.43,128.55,10,229,226.32,183.552,1.233,-,1.585,-,113,-,0.1,C10H10O2S2,False
Diheptyl Sulfide,629-65-2,16.47,2.47,2.22,0,0,Chronic aquatic toxicity (Category 4),Unknown,SDS Source,35.55,-,-,298,230.45,274.117,0.8407,-,1.46,-,148.9,-,0.2,C14H30S,False
Dihexyl Disulfide,10496-15-8,16.52,3.67,2.48,2,0,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,13.42,-,-,305.1,234.46,255.125,0.919,-,1.487,-,94,-,-,C12H26S2,False
Dihexyl Sulfide,6294-31-1,16.55,2.19,2.33,2,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,1.93,421.39,-,230,202.4,238.398,0.849,-,1.4587,-,113,-,0.6,C12H26S,False
Dihydromyrcenol,18479-58-8,16,3.44,6.4,2,2,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,0.09,24.55,-20,194,156.27,188.028,0.8311,12.2,1.44,-,76,0.939,1.9,C10H20O,True
Diisopropyl Azodicarboxylate,2446-83-5,17.17,11.64,6.83,2,1,Skin Corrosion/irritation (Category 2)...,Nitrile,SDS Source,0.61,59.1,3,-,202.21,198.245,1.02,-,1.42,1.04 hPa at 20 C,106,Not Soluble,-,C8H14N2O4,False
Diisopropyl Sebacate,7491-02-3,15.85,3.16,3.62,2,1,None,Unknown,SDS Source,2.5,-,-,243,286.41,306.649,0.934,-,1.432,< 0.02 mmHg at 20 C,178,Not Soluble,-,C16H30O4,True
Diisopropyl Sulfide,625-80-9,16.07,2.46,2.2,2,3,"Flammable liquids (Category 2), Skin i...",Unknown,SDS Source,2.08,158.76,-78.1,120,118.24,145.258,0.814,-,1.439,15 mmHg at 20 C,7,-,119.7,C6H14S,False
Dimethicone,9006-65-9,12.8,1.49,1.42,1,1,Flammable Liq. 3,Unknown,SDS Source,0.05,17.05,5,153,162.38,167.402,0.97,492,1.393,-,120,Not Soluble,-,C6H18OSi2,False
"Dimethoxyacetophenone (2,4-)",1201-38-3,18.95,8.71,3.79,0,0,None,Unknown,SDS Source,1.34,138.8,18,-,180.2,158.209,1.139,-,1.5422,-,113,-,-,C10H12O3,True
Dimethoxydimethylsilane,1112-39-6,13.93,3.46,3.5,2,3,"Flammable liquids (Category 2), Eye ir...",Nitrile,SDS Source,0.15,33.57,-80,82,120.22,136.614,0.88,0.44,1.3708,100 mmHg at 36 C,-8,Not Soluble,1134.5,C4H12O2Si,False
Dimethyl Adipate,627-93-0,16.3,6.8,8.5,0,1,Acute aquatic toxicity (Category 3),Unknown,SDS Source,0.11,11.34,8,225,174.19,164.021,1.062,2.5,1.4288,0.08 hPa at 20 C,110,25,1.4,C8H14O4,True
Dimethyl Anthranilate,85-91-6,16.4,11.3,7.5,2,1,"Skin irritation (Category 2), Eye irri...",Nitrile/ Butyl Rubb,SDS Source,0.33,69.81,19,255,165.19,146.705,1.126,-,1.579,0.01 mmHg at 25 C,113,0.475,0.3,C9H11NO2,False
Dimethyl azelate,1732-10-1,16.34,4.71,5.91,0,1,None,Unknown,SDS Source,7.26,140.61,18,276,216.27,214.767,1.007,-,1.43607,< 1 hPa at 20 C,113,-,0.2,C11H20O4,True
Dimethyl Glutarate,1119-40-0,16.1,7.7,8.3,0,1,None,Latex/ Chloroprene/,SDS Source,0.17,21.77,-42.5,214,160.17,146.945,1.09,2.53,1.4242,6.2 mmHg at 20 C,109,63.1,2.6,C7H12O4,True
Dimethyl Sebacate,106-79-6,16.6,2.9,6.7,0,0,None,Nitrile/ Butyl Rubb,SDS Source,0.35,14.97,29,300,230.3,233.097,0.988,-,1.4377,0.0008 hPa at 25 C,145,0.301,0.001,C12H22O4,True
Dimethyl Succinate,106-65-0,16.1,7.7,8.8,0,2,Flammable liquids (Category 4),Nitrile/ Butyl Rubb,SDS Source,0.11,17.24,19,196.4,146.14,130.833,1.117,2.92,-,0.3 mmHg at 20 C,90,122.9,5.2,C6H10O4,True
Dimethyl Sulfite,616-42-2,17.58,9.91,5.57,2,2,"Flammable liquids (Category 3), Skin i...",Butyl Rubber,SDS Source,0.75,122.92,-,126,110.13,85.1082,1.294,-,1.4099,14.4 mmHg at 25 C,38,-502,39.8,C2H6O3S,False
Dimethyl Sulfoxide,67-68-5,18.4,16.4,10.2,0,2,Flammable liquids (Category 4),Nitrile,SDS Source,0.07,11.43,18.5,189,78.13,71.0273,1.1,2.47,1.4795,0.55 hPa at 20 C,87,-502,3,C2H6OS,False
Dimethyl Trisulfide,3658-80-8,19.3,7.77,5.63,2,2,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,6.54,267.85,-68,165,126.27,106.109,1.19,-,1.6,1 mmHg at 20 C,52,Not Soluble,12.6,C2H6S3,False
"Dimethyl-1,4-Cyclohexanedicarboxylate",94-60-0,17.15,5.06,6.7,2,1,Eye irritation (Category 2A),Unknown,SDS Source,1.3,55.79,24,262,200.23,180.225,1.111,-,1.458,1 hPa at 85 C,113,Not Soluble,0.5,C10H16O4,True
"Dimethylcyclopropane-1,1-Dicarboxylate",6914-71-2,17.54,6.58,8.11,0,1,"Acute aquatic toxicity (Category 3), C...",Unknown,SDS Source,1.17,164.65,1.62,196,158.15,137.881,1.147,-,1.441,-,95,-,-,C7H10O4,True
Dimethyldecylamine,1120-24-7,15.65,2.19,2.61,2,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,0.08,34.93,-,234,185.35,238.239,0.778,-,1.4293,-,92,-,3.5,C12H27N,False
Dioctyl Ether,629-82-3,15.83,2.07,1.98,0,1,None,Nitrile,SDS Source,0.72,244.03,-7.6,286,242.44,300.794,0.806,3.7,1.433,< 0.40 hPa at 20 C,110,0.1,0.3,C16H34O,True
Dipropyl Disulfide,629-19-6,16.21,4.53,3.38,0,2,"Flammable liquids (Category 4), Acute ...",Nitrile,SDS Source,0.68,79.47,-85.6,193.5,150.31,158.221,0.95,-,1.5015,<1 mmHg at 20 C,66,0.04,8.2,C6H14S2,False
Dipropyl Ketone,123-19-3,15.8,7.6,4.9,1,2,"Flammable liquids (Category 3), Acute ...",Butyl Rubber,SDS Source,0.19,55.17,-33,144,114.19,139.767,0.817,0.73,1.4112,6.9 hPa at 20 C,49,3.2,4.933,C7H14O,True
Dipropyl Sulfide,111-47-7,16.52,2.7,2.92,2,3,"Flammable liquids (Category 3), Skin i...",Fluorinated Rubber,SDS Source,1.99,-,-102,142,118.18,140.69,0.84,-,1.44877,-,32,-,73.2,C6H14S,False
Dipropylene Glycol Mono n-Butyl Ether,29911-28-2,15.7,6.5,10,2,1,None,Nitrile,SDS Source,0.05,12.25,-75,230,190.28,208.412,0.913,4.9,1.4278,0.04 mmHg at 20 C,96,45,0.7,C10H22O3,True
Dipropylene Glycol Mono n-Propyl Ether,29911-27-1,15.6,6.1,11,2,2,"Flammable liquids (Category 4), Eye ir...",Nitrile,SDS Source,0.06,19.96,-75,213,176.25,191.368,0.921,11.4,1.424,0.08 mmHg at 20 C,88,172,1.2,C9H20O3,True
Dipropylene Glycol Monomethyl Ether,34590-94-8,16.23,6.44,9.86,0,2,Flammable liquids (Category 4),Nitrile,SDS Source,0.04,18.47,-80,190,148.2,155.836,0.951,3.82,1.419,0.5 hPa at 25 C,74,Not Soluble,1.9,C7H16O3,True
Dipropylene Glycol Monomethyl Ether Acetate,88917-22-0,16.3,4.9,8,2,2,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,0.08,24.95,-25,209,190.24,196.124,0.97,1.7,1.417,0.08 mmHg at 20 C,86,190,1.2,C9H18O4,True
Dodecyloxirane,3234-28-4,16.2,2.98,2.68,0,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,0.86,141.07,-,303.9,212.37,251.325,0.845,-,1.4405,-,113,-,-,C14H28O,True
Ethyl (3R)-4-Cyano-3-Hydroxybutanoate,141942-85-0,17.05,11.44,12.29,0,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,6.08,177.35,-,270,157.17,141.086,1.114,-,1.448,-,113,-,-,C7H11NO3,False
"Ethyl (E,Z)-2,4-Decadienoate",3025-30-7,16.69,3.13,4.47,2,1,"Skin irritation (Category 2), Acute aq...",Nitrile,SDS Source,6.9,782.9,-60,260,196.29,216.895,0.905,3.7,1.486,< 0.11 hPa at 20 C,113,0.084,1.3,C12H20O2,True
Ethyl 2-Ethoxyacetate,817-95-8,15.87,6.13,6.55,0,2,Flammable liquids (Category 3),Butyl/ Nitrile,SDS Source,4,-,-,156,132.16,135.549,0.975,-,1.402,-,50,-,31.8,C6H12O3,True
Ethyl 2-Ethyl Acetoacetate,607-97-6,16.33,6.72,5.73,0,2,Flammable liquids (Category 4),Unknown,SDS Source,3.62,176.45,-,198,158.19,161.254,0.981,-,1.42254,-,69,-,3.7,C8H14O3,True
Ethyl 2-Mercaptopropionate,19788-49-9,16.89,6.82,8.01,0,2,"Flammable liquids (Category 3), Skin i...",Unknown,SDS Source,3.92,282.13,-,171.677,134.2,129.038,1.04,-,1.448,-,58,-,15.5,C5H10O2S,False
Ethyl 2-Methyl-4-Pentenoate,53399-81-8,15.92,3.71,4.92,0,2,Flammable liquids (Category 3),Unknown,SDS Source,2.48,474.46,-,153,142.2,162.887,0.873,-,1.417,-,41,-,19.6,C8H14O2,True
Ethyl 2-Methyllactate,80-55-7,16.37,6.61,11.17,2,2,Flammable liquids (Category 3),Nitrile,SDS Source,0.77,-,-,150,132.16,136.953,0.965,-,1.408,-,41,-,-,C6H12O3,True
Ethyl 2-Octenoate,2351-90-8,16.34,3.52,4.81,0,1,None,Unknown,SDS Source,0.67,158.76,-,222,170.25,192.809,0.883,-,1.441,-,98.3,-,4.3,C10H18O2,True
Ethyl 3-Hexenoate,2396-83-0,16.3,4.27,5.39,0,2,Flammable liquids (Category 3),Unknown,SDS Source,1.88,183.26,-56,166.5,142.2,158.705,0.896,-,1.426,1.55 mmHg at 25 C,59,-,14.4,C8H14O2,True
Ethyl 4-Oxopiperidine-1-Carboxylate,29976-53-2,18.91,14.48,5.85,0,2,"Flammable liquids (Category 4), Acute ...",Nitrile,SDS Source,1.53,151.95,-,273,171.19,150.828,1.135,-,1.4716,-,87,-502,-,C8H13NO3,False
Ethyl Acetoacetate,141-97-9,16.5,7.3,8.3,0,2,Flammable liquids (Category 4),Butyl Rubber/ Nitri,SDS Source,0.05,10.8,-45,180.8,130.14,126.472,1.029,1.902,1.4194,0.20 mmHg at 20 C,73.5,130,3.116,C6H10O3,True
Ethyl Acetylenecarboxylate,623-47-2,16.29,6.96,7.68,0,3,"Flammable liquids (Category 3), Skin i...",Unknown,SDS Source,3.08,269.89,9,120,98.1,101.343,0.968,-,1.4076,-,23,-502,-,C5H6O2,True
Ethyl Amyl Ketone,106-68-3,16.2,4.5,4.1,2,2,Flammable liquids (Category 3),Butyl Rubber,SDS Source,0.47,-,-,167,128.21,155.973,0.822,-,1.4195,2 mmHg at 20 C,51,2.6,7.932,C8H16O,True
Ethyl Butyl Ketone,106-35-4,16.2,5,4.1,2,2,"Flammable liquids (Category 3), Acute ...",Butyl Rubber,SDS Source,0.41,-,-39,147,114.19,139.597,0.818,0.84,1.4057,4.12 mmHg at 20 C,38,4.3,18.266,C7H14O,True
Ethyl Butyrate,105-54-4,15.5,5.6,5,2,3,"Flammable liquids (Category 3), Acute ...",Butyl Rubber,SDS Source,0.06,7.71,-98,121.5,116.16,133.517,0.87,0.662,1.3922,14 mmHg 20 C,26,0.21,106.978,C6H12O2,True
Ethyl Capronate,123-66-0,15.5,3.2,5.9,2,2,Flammable liquids (Category 3),Nitrile,SDS Source,-,-,-67,167,144.21,165.949,0.869,0.816,1.4073,-,53,0.629,6.402,C8H16O2,True
Ethyl Cinnamate,103-36-6,18.4,8.2,4.1,0,1,None,Nitrile,SDS Source,0.13,28.06,7,271,176.21,167.979,1.049,-,1.5589,-,110,Not Soluble,0.019,C11H12O2,True
Ethyl Cyanoacetate,105-56-6,16.7,7.9,8.3,1,1,"Acute toxicity, Oral (Category 4), Acu...",Nitrile/ Butyl Rubb,SDS Source,0.09,24.09,-22.5,210,113.11,106.406,1.063,1.01,1.42269,1 hPa at 67.8 C,109,20,0.021,C5H7NO2,False
Ethyl Cyclohexyl Acetate,5452-75-5,16.71,3.5,4.7,0,2,Flammable liquids (Category 4),Unknown,SDS Source,3.23,289.85,-,211,170.25,179.589,0.948,-,1.443,-,84,-,3.3,C10H18O2,True
Ethyl Cyclopentenolone,21835-01-8,18.44,10.37,12.07,2,1,None,Unknown,SDS Source,3.24,346.54,38,258.3,126.15,109.126,1.156,-,1.476,-,107.2,-,2.1,C7H10O2,True
Ethyl Hydrocinnamate,2021-28-5,17.41,3.84,5.08,0,1,None,Latex/ Chloroprene,SDS Source,0.8,70.31,-,247,178.23,176.465,1.01,-,1.4947,-,108,0.22,0.9,C11H14O2,True
Ethyl Isopropyl Ketone,565-69-5,15.54,5.77,3.59,0,3,Flammable liquids (Category 2),Butyl Rubber,SDS Source,5.8,-,-,113,100.16,123.502,0.811,-,1.397,-,11,15.5,200.1,C6H12O,True
Ethyl Isovalerate,108-64-5,15.52,4.1,4.97,0,3,Flammable liquids (Category 3),Nitrile,SDS Source,0.16,17.37,-99.3,135,130.18,150.671,0.864,0.805,1.396,7.5 mmHg at 20 C,27,2,60.4,C7H14O2,True
Ethyl Linoleate,544-35-4,16.4,2.39,3.29,0,1,None,Unknown,SDS Source,18.91,266.26,25,388,308.5,352.169,0.876,5.4231,1.4582,-,113,-,0,C20H36O2,True
Ethyl Linolenate,1191-41-9,16.56,2.51,3.31,0,0,None,Unknown,SDS Source,182.9,182.34,-,374,306.48,343.587,0.892,4.4014,1.468,-,113,-,0,C20H34O2,True
Ethyl Methyl Mercaptopropionate,13327-56-5,17.11,5.78,6.45,1,2,Flammable liquids (Category 4),Nitrile,SDS Source,1.08,87.77,-,197,148.22,143.624,1.032,-,1.46,-,81,-,4.7,C6H12O2S,False
Ethyl Methyl Sulfide,624-89-5,17.1,4.8,2.5,0,3,Flammable liquids (Category 2),Unknown,SDS Source,1.15,118.39,-106,66,76.16,90.4513,0.842,-,1.44033,363 hPa at 37.7 C,-15,6.68,668.854,C3H8S,False
Ethyl Phenoxyacetate,2555-49-9,17.75,5.5,6.63,1,2,None,Unknown,SDS Source,1.8,217.72,-,251,180.2,163.818,1.1,-,1.5048,-,113,Not Soluble,-,C10H12O3,True
Ethyl picolinate,2524-52-9,18.14,9.21,5.79,0,1,None,Chloroprene,SDS Source,1.44,124.74,1,240,151.16,135.085,1.119,-,1.511,-,107,-,-,C8H9NO2,False
Ethyl Propyl Sulfide,13925-00-3,18,8.5,5.7,2,3,"Flammable liquids (Category 4), Skin i...",Butyl Rubber,SDS Source,3.9,214.1,-,153,108.14,108.14,1,-,1.498,4.01 mmHg at 25 C,42,-,6.9,C6H8N2,False
Ethyl Pyruvate,617-35-6,16.7,9.1,7.9,0,2,Flammable liquids (Category 3),Butyl Rubber,SDS Source,0.34,52.13,-50,155,116.12,111.12,1.045,1.186,1.4065,3.1 mmHg at 25 C,46,10,21.3,C5H8O3,True
Ethyl Safranate,118-61-6,18.2,8.1,9.3,2,1,"Acute toxicity, Oral (Category 4), Ski...",Nitrile/ Butyl Rubb,SDS Source,0.07,12.87,1,232.5,166.17,146.923,1.131,3.694,1.5217,0.07 hPa at 25 C,107,0.25,1.1,C9H10O3,True
Ethyl Salicylate,2396-84-1,16.9,4.2,5.6,0,2,Flammable liquids (Category 4),Unknown,SDS Source,0.47,101.83,-,196,140.18,150.247,0.933,-,1.4926,-,69,-,14,C8H12O2,True
Ethyl Sorbate,623-51-8,17.1,8.1,9.3,2,2,"Flammable liquids (Category 3), Acute ...",Nitrile,SDS Source,0.22,58.06,-80,54,120.17,109.644,1.096,-,1.458,-,47,-,20.7,C4H8O2S,False
Ethyl Valerate,539-82-2,15.83,4.32,5.56,0,3,Flammable liquids (Category 3),Fluorinated Rubber,SDS Source,0.12,36.14,-91.2,146.1,130.18,148.777,0.875,0.8,1.4007,3 hPa at 20 C,34,2.23,44.2,C7H14O2,True
Ethyl-2-Methyl Butyrate,7452-79-1,15.59,3.82,4.92,0,3,Flammable liquids (Category 3),Butyl Rubber,SDS Source,0.18,27.01,-,133,130.18,150.497,0.865,0.831,1.3965,7.4657 hPa at 20 C,26,4.16,52.5,C7H14O2,True
Ethyl-3-Hydroxybutyrate,5405-41-4,16.64,7.08,12.04,0,2,Flammable liquids (Category 4),Unknown,SDS Source,0.25,37.56,-,185,132.16,129.951,1.017,-,1.4188,0.362000 mmHg at 25 C,77,-,4.3,C6H12O3,True
Ethylcyclopentane,1640-89-7,16.07,0.1,0.1,0,3,Flammable liquids (Category 2),Unknown,SDS Source,55.37,-,-138.4,103.5,98.19,128.689,0.763,-,1.4194,72.8 mmHg at 37.7 C,16,Not Soluble,518.4,C7H14,True
Ethylene Glycol Diacetate,111-55-7,16.2,4.7,9.8,0,2,"Flammable liquids (Category 4), Acute ...",Butyl Rubber,SDS Source,0.05,18.04,-31,190,146.14,129.557,1.128,-,1.4168,0.3 hPa at 20 C,86,160,1.385,C6H10O4,True
Ethylidene Diacetate,542-10-9,16.61,6.02,8.31,0,1,Flammable liquids (Category 4),Unknown,SDS Source,2.74,330.67,18.9,169,146.14,88.0361,1.66,-,1.399,2.267 kPa at 70 C,68,-,8.8,C6H10O4,True
exo-Trimethylenenorbor-500e,2825-82-3,17.17,1.94,1.83,0,2,Flammable Liquids [Category 3],Unknown,SDS Source,27.56,424.56,183.2,457.76,136.23,146.958,0.927,2.853,1.489,-,55,Not Soluble,-,C10H16,True
Filbert Pyrazine,15707-23-0,17.64,7.43,4.82,2,2,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,2.34,471.06,-,169,122.17,123.404,0.99,-,1.499,1.69 mmHg at 25 C,57,-,3.8,C7H10N2,False
Fruity Ketal,6290-17-1,16.7,5.73,5.75,0,2,Flammable liquids (Category 4),Unknown,SDS Source,1.04,115.21,-68,220.6,188.22,180.633,1.042,-,1.4278,7.95 Pa at 25 C,91,-,5.1,C9H16O4,True
Gamma Decalactone,706-14-9,16.42,10,4.51,0,1,None,Nitrile,SDS Source,1.12,88.11,-20,281,170.25,178.834,0.952,-,1.4492,0.01 mm Hg at 20 C,136,Not Soluble,0.3,C10H18O2,True
gamma-Nonalactone,104-61-0,16.46,11.03,4.86,0,1,None,Nitrile,SDS Source,0.23,38.74,-,243,156.22,160.061,0.976,-,1.448,0.02 mmHg at 20 C,113,Not Soluble,0.6,C9H16O2,True
